INFO:aiogram.dispatcher.dispatcher:Start polling.
WARNING:aiogram.dispatcher.dispatcher:Polling is stopped.
INFO:aiogram.dispatcher.dispatcher:Start polling.
WARNING:aiogram.dispatcher.dispatcher:Polling is stopped.
INFO:aiogram.dispatcher.dispatcher:Start polling.
INFO:root:Ход в игре-2022-11-19 01:10:32.168256-536297652-Andrey-[1, 2, 3, '❌', 5, 6, 7, 8, 9, 9, 1, '⭕']
INFO:root:Ход в игре-2022-11-19 01:10:32.781429-536297652-Andrey-['⭕', 2, 3, '❌', 5, 6, 7, 8, 9, 9, 2, '❌']
INFO:root:Ход в игре-2022-11-19 01:10:33.291899-536297652-Andrey-['⭕', 2, 3, '❌', '❌', 6, 7, 8, 9, 9, 3, '⭕']
INFO:root:Ход в игре-2022-11-19 01:10:33.675507-536297652-Andrey-['⭕', '⭕', 3, '❌', '❌', 6, 7, 8, 9, 9, 4, '❌']
INFO:root:Ход в игре-2022-11-19 01:10:34.085362-536297652-Andrey-['⭕', '⭕', 3, '❌', '❌', 6, '❌', 8, 9, 9, 5, '⭕']
INFO:root:Конец игры-2022-11-19 01:10:38.938289-536297652-Andrey-['⭕', '⭕', '⭕', '❌', '❌', 6, '❌', 8, 9, '⭕', 6, '⭕']
WARNING:aiogram.dispatcher.dispatcher:Polling is stopped.
INFO:aiogram.dispatcher.dispatcher:Start polling.
INFO:root:Ход в игре-2022-11-19 01:30:49.562898-536297652-Andrey-['❌', 2, 3, 4, 5, 6, 7, 8, 9, 9, 1, '⭕']
INFO:root:Начало игры-2022-11-19 01:30:52.455871-536297652-Andrey-[1, 2, 3, 4, 5, 6, 7, 8, 9, 9, 0, '❌']
INFO:root:Начало игры-2022-11-19 01:30:58.366816-536297652-Andrey-[1, 2, 3, 4, 5, 6, 7, 8, 9, 9, 0, '❌']
INFO:root:Ход в игре-2022-11-19 01:31:01.180265-536297652-Andrey-['❌', 2, 3, 4, 5, 6, 7, 8, 9, 9, 1, '⭕']
WARNING:aiogram.dispatcher.dispatcher:Polling is stopped.
INFO:aiogram.dispatcher.dispatcher:Start polling.
INFO:root:Начало игры-2022-11-19 02:25:55.639166-536297652-Andrey-[1, 2, 3, 4, 5, 6, 7, 8, 9, 9, 0, '❌']
INFO:root:Ход в игре-2022-11-19 02:25:56.691955-536297652-Andrey-['❌', 2, 3, 4, 5, 6, 7, 8, 9, 9, 1, '⭕']
INFO:root:Ход в игре-2022-11-19 02:25:57.737514-536297652-Andrey-['❌', 2, 3, 4, '⭕', 6, 7, 8, 9, 9, 2, '❌']
INFO:root:Ход в игре-2022-11-19 02:26:02.453400-536297652-Andrey-['❌', '❌', 3, 4, '⭕', 6, 7, 8, 9, 9, 3, '⭕']
INFO:root:Ход в игре-2022-11-19 02:26:03.722324-536297652-Andrey-['❌', '❌', 3, 4, '⭕', '⭕', 7, 8, 9, 9, 4, '❌']
INFO:root:Ход в игре-2022-11-19 02:26:05.904393-536297652-Andrey-['❌', '❌', 3, 4, '⭕', '⭕', 7, 8, '❌', 9, 5, '⭕']
INFO:root:Ход в игре-2022-11-19 02:26:06.932617-536297652-Andrey-['❌', '❌', 3, 4, '⭕', '⭕', 7, '⭕', '❌', 9, 6, '❌']
INFO:root:Конец игры-2022-11-19 02:26:08.033091-536297652-Andrey-['❌', '❌', '❌', 4, '⭕', '⭕', 7, '⭕', '❌', '❌', 7, '❌']
INFO:root:Ход в игре-2022-11-19 02:26:10.001280-536297652-Andrey-[1, 2, 3, '❌', 5, 6, 7, 8, 9, 9, 1, '⭕']
INFO:root:Ход в игре-2022-11-19 02:26:10.949943-536297652-Andrey-['⭕', 2, 3, '❌', 5, 6, 7, 8, 9, 9, 2, '❌']
INFO:root:Ход в игре-2022-11-19 02:26:11.414604-536297652-Andrey-['⭕', 2, 3, '❌', '❌', 6, 7, 8, 9, 9, 3, '⭕']
INFO:root:Ход в игре-2022-11-19 02:26:11.907796-536297652-Andrey-['⭕', 2, 3, '❌', '❌', 6, '⭕', 8, 9, 9, 4, '❌']
INFO:root:Ход в игре-2022-11-19 02:26:14.128339-536297652-Andrey-['⭕', 2, 3, '❌', '❌', 6, '⭕', '❌', 9, 9, 5, '⭕']
INFO:root:Ход в игре-2022-11-19 02:26:14.810729-536297652-Andrey-['⭕', '⭕', 3, '❌', '❌', 6, '⭕', '❌', 9, 9, 6, '❌']
INFO:root:Конец игры-2022-11-19 02:26:15.717680-536297652-Andrey-['⭕', '⭕', 3, '❌', '❌', '❌', '⭕', '❌', 9, '❌', 7, '❌']
INFO:root:Ход в игре-2022-11-19 02:26:16.665375-536297652-Andrey-[1, 2, 3, 4, 5, 6, 7, 8, '❌', 9, 1, '⭕']
INFO:root:Ход в игре-2022-11-19 02:26:17.338035-536297652-Andrey-[1, 2, 3, 4, 5, '⭕', 7, 8, '❌', 9, 2, '❌']
INFO:root:Ход в игре-2022-11-19 02:26:20.893798-536297652-Andrey-[1, 2, 3, 4, '❌', '⭕', 7, 8, '❌', 9, 3, '⭕']
INFO:root:Ход в игре-2022-11-19 02:26:21.340090-536297652-Andrey-[1, 2, 3, 4, '❌', '⭕', 7, '⭕', '❌', 9, 4, '❌']
